nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Wendell,0.222,0.066,0.208,0.165,0.541,0.247,0.392,0.334,0.45,0.466,0.405,0.546,0.073,0.322
Lucas Vázquez,0.6,0.646,0.588,0.611,0.461,0.412,0.535,0.652,0.555,0.609,0.537,0.513,0.441,0.546
Elseid Hysaj,0.277,0.256,0.327,0.287,0.182,0.349,0.711,0.303,0.375,0.51,0.405,0.251,0.243,0.344
Bryan Cristante,0.291,0.211,0.374,0.292,0.224,0.324,0.645,0.365,0.338,0.575,0.412,0.292,0.285,0.357
Mattia Caldara,0.394,0.344,0.394,0.378,0.235,0.295,0.651,0.282,0.371,0.433,0.378,0.326,0.392,0.374
Julian Weigl,0.354,0.408,0.397,0.386,0.594,0.373,0.207,0.307,0.415,0.424,0.387,0.251,0.256,0.362
Ben Davies,0.257,0.26,0.417,0.311,0.268,0.243,0.46,0.326,0.72,0.553,0.429,0.606,0.288,0.4
Stanislav Lobotka,0.064,0.009,0.14,0.071,0.091,0.175,0.242,0.375,0.22,0.24,0.224,0.181,0.141,0.17
Victor Lindelöf,0.5,0.295,0.45,0.415,0.375,0.397,0.47,0.344,0.783,0.508,0.479,0.415,0.417,0.45
Jean-Philippe Gbamin,0.0,0.0,0.501,0.167,0.508,0.287,0.042,0.082,0.008,0.031,0.16,0.0,0.0,0.133
Nathan Aké,0.3,0.459,0.466,0.408,0.181,0.148,0.243,0.239,0.57,0.418,0.3,0.309,0.356,0.335
Matteo Politano,0.365,0.199,0.195,0.253,0.193,0.34,0.712,0.357,0.364,0.475,0.407,0.299,0.291,0.345
Matías Vecino,0.393,0.227,0.292,0.304,0.274,0.348,0.675,0.593,0.411,0.573,0.479,0.588,0.311,0.426
Ross Barkley,0.392,0.385,0.515,0.431,0.364,0.334,0.241,0.284,0.737,0.552,0.419,0.42,0.52,0.431
Simone Verdi,0.24,0.199,0.284,0.241,0.156,0.158,0.562,0.243,0.313,0.407,0.307,0.448,0.281,0.299
Dennis Praet,0.158,0.356,0.329,0.281,0.067,0.033,0.305,0.259,0.298,0.166,0.188,0.059,0.137,0.197
Faouzi Ghoulam,0.376,0.366,0.626,0.456,0.196,0.434,0.68,0.339,0.398,0.367,0.403,0.222,0.195,0.382
Matthias Ginter,0.287,0.428,0.372,0.362,0.617,0.334,0.177,0.189,0.388,0.387,0.349,0.168,0.262,0.328
Emil Forsberg,0.235,0.19,0.185,0.203,0.57,0.315,0.261,0.23,0.441,0.418,0.373,0.248,0.376,0.315
Marcel Sabitzer,0.162,0.196,0.259,0.206,0.542,0.266,0.107,0.12,0.309,0.236,0.264,0.119,0.121,0.222
Thorgan Hazard,0.367,0.339,0.458,0.388,0.563,0.402,0.301,0.301,0.435,0.431,0.406,0.206,0.507,0.392
Thomas Meunier,0.385,0.362,0.47,0.406,0.417,0.714,0.438,0.432,0.506,0.558,0.511,0.479,0.424,0.471
Shkodran Mustafi,0.416,0.551,0.548,0.505,0.593,0.36,0.451,0.359,0.671,0.528,0.493,0.23,0.431,0.467
Sime Vrsaljko,0.442,0.375,0.233,0.35,0.398,0.405,0.632,0.535,0.453,0.541,0.494,0.243,0.457,0.429
Iago Aspas,0.274,0.237,0.455,0.322,0.355,0.454,0.431,0.614,0.511,0.63,0.499,0.259,0.467,0.426
Vitolo,0.285,0.246,0.4,0.311,0.268,0.393,0.454,0.642,0.465,0.565,0.465,0.329,0.293,0.395
Pedro Rodriguez,0.486,0.709,0.101,0.432,0.378,0.315,0.473,0.611,0.564,0.585,0.488,0.69,0.336,0.477
Asier Illarramendi,0.211,0.358,0.5,0.356,0.185,0.198,0.234,0.48,0.368,0.24,0.284,0.162,0.238,0.289
Aleksandar Mitrovic,0.206,0.279,0.298,0.261,0.32,0.377,0.412,0.274,0.646,0.479,0.418,0.398,0.526,0.383
David Luiz,0.664,0.853,0.793,0.77,0.535,0.733,0.557,0.544,0.862,0.677,0.651,0.571,0.521,0.664
Marko Arnautovic,0.336,0.506,0.434,0.425,0.554,0.573,0.62,0.358,0.664,0.583,0.559,0.299,0.482,0.492
Arturo Vidal,0.627,0.622,0.72,0.656,0.665,0.501,0.572,0.608,0.587,0.677,0.602,0.496,0.568,0.604
Sami Khedira,0.575,0.729,0.484,0.596,0.736,0.549,0.734,0.617,0.558,0.648,0.64,0.413,0.491,0.594
Edin Dzeko,0.502,0.617,0.625,0.582,0.604,0.64,0.842,0.52,0.65,0.657,0.652,0.426,0.548,0.603
Luka Modric,0.778,0.748,0.57,0.698,0.634,0.825,0.751,0.757,0.723,0.855,0.757,0.561,0.769,0.724
Cesc Fàbregas,0.63,0.734,0.803,0.723,0.611,0.777,0.645,0.595,0.874,0.746,0.708,0.466,0.578,0.678
José Callejón,0.331,0.323,0.566,0.407,0.369,0.401,0.731,0.53,0.464,0.546,0.507,0.544,0.32,0.466
